,Congruent,Incongruent,diff,,,
,8.63,15.687,7.057,29.38859627,40.05518617,0.82408571
,8.987,17.394,8.407,25.64536202,21.36211367,0.19554821
,11.344,17.425,6.081,7.328525766,21.07651584,3.548671043
,15.073,17.51,2.437,1.044228516,20.30328501,30.55648071
,14.233,17.96,3.727,0.033078516,16.45046001,17.95887821
,15.298,18.644,3.346,1.554697266,11.36982201,21.33323646
,16.791,18.741,1.95,7.506915016,10.72507917,36.17771879
,12.079,19.278,7.199,3.889277016,7.496187674,0.586436877
,16.929,20.33,3.401,8.282164516,2.842315007,20.82819438
,10.639,20.429,9.79,11.64259702,2.518304507,3.33138546
,9.401,20.762,11.361,21.62366252,1.572307007,11.53423104
,12.238,20.878,8.64,3.287422266,1.29485434,0.455906293
,16.004,21.157,5.153,3.813720766,0.73773784,7.906172377
,9.564,21.214,11.65,20.13429077,0.64307034,13.58076046
,19.71,22.058,2.348,32.02286627,0.001771007,31.54834863
,12.13,22.158,10.028,3.690721266,0.020187674,4.256828627
,14.669,22.803,8.134,0.381769516,0.619500174,0.02863146
,12.944,23.894,10.95,1.225725766,3.527197007,8.911468793
,22.328,24.524,2.196,68.50665977,6.290482007,33.27895729
,14.692,24.572,9.88,0.410720766,6.533562007,3.66802296
,18.495,25.139,6.644,19.74802502,9.753649507,1.744490627
,14.48,26.282,11.802,0.183933766,18.19946701,14.72416779
,12.369,34.288,21.919,2.829544516,150.6040293,194.7199302
,18.2,35.255,17.055,17.21316377,175.2733275,82.63188754
mu,14.051125,22.01591667,7.964791667,,,
S,3.559357958,4.797057122,4.86482691,,,
SEM,,,0.993028635,,,
t,,,8.020706944,,,
Cohen's d,,,1.637219949,,,
r2,,,0.736636416,,,
